energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
1276.6,0.5,0.11,0.03,G,2787.53,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1281.1,1,0.06,0.03,G,3601.7,2320.32, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1288.5,0.8,0.12,0.03,G,3526.5,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1291.9,1,0.15,0.03,G,3601.7,2309.89, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1291.9,1,0.15,0.03,G,4079.93,2787.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1299.2,1.5,0.227,0.018,G,4275.1,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1319.7,2,0.021,0.016,G,4416.0,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1323.4,0.7,0.069,0.016,G,3526.5,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1339.2,1.5,0.1,0.03,G,4275.1, , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1363.3,0.5,0.259,0.019,G,2873.78,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1375.9,0.4,0.106,0.016,G,5651.11,4275.1, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1375.9,0.4,0.106,0.016,G,4079.93,2703.98, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1381.8,0.9,0.058,0.016,G,3520.5,2138.27, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
